date,company,sector,role,role_type,channel,status,contact_person,fit_rating,notes,cv_file,cover_letter_file,source
2026-06-08,Valon,,Founder Associate,Full-time,LinkedIn,Rejected,,high,No cover letter recovered for this application; source docx found in Cowork OS was mislabeled and is actually the Keystone letter. CV version used not confirmed.,,,https://www.linkedin.com/jobs/view/founder-associate-at-valon-4392488594
,Rillet,,Founders Associate,Full-time,LinkedIn,Rejected,,high,Application date TBD - Michael to confirm. No cover letter saved for this application. CV version used not confirmed.,,,https://www.linkedin.com/jobs/view/founders-associate-at-rillet-4400565448
,Distyl,,AI Strategist (All Levels),Full-time,LinkedIn,Rejected,,B-,Application date TBD - Michael to confirm.,,,https://www.linkedin.com/jobs/view/ai-strategist-all-levels-at-distyl-4349060598
,Tenex,,AI Strategist,Full-time,LinkedIn,Rejected,,C+ (unconfirmed),Application date TBD - Michael to confirm. Interviewed as of 2026-07-10; rejected as of 2026-07-12.,,,https://www.linkedin.com/jobs/view/ai-strategist-at-tenex-4423529277
,BNY,,Applied AI Technical Product Manager,Full-time,LinkedIn,Applied,,C (unconfirmed),Application date TBD - Michael unsure whether this application actually went through; verify status directly with BNY.,,,https://www.linkedin.com/jobs/view/applied-ai-technical-product-manager-at-bny-4414994050
2026-07-10,Crusoe,AI Infrastructure,Business Operations Specialist,Full-time,LinkedIn,Applied,,A-,,cv/main_ai-strategist.tex,cover_letters/cover_crusoe_business-operations-specialist.tex,https://www.linkedin.com/jobs/view/business-operations-specialist-at-crusoe-4428172196
2026-07-10,Checkout.com,Fintech/Payments,"Forward Deployed AI Accelerator, Operations",Full-time,LinkedIn,Applied,,B+,Requires UK visa sponsorship (Skilled Worker) - flagged to Michael before he applied.,cv/main_ai-strategist.tex,cover_letters/cover_checkoutcom_forward-deployed-ai-accelerator.tex,https://uk.linkedin.com/jobs/view/forward-deployed-ai-accelerator-operations-at-checkout-com-4423669371
,Synthesia,AI Video,Solutions Consultant,Full-time,LinkedIn,Drafted,,B-,Cover letter drafted and verified; not yet submitted.,,cover_letters/cover_synthesia_solutions-consultant.tex,https://www.linkedin.com/jobs/view/4423542784/
2026-06-22,Reejig,AI/HR Tech,AI Workforce Transformation Consultant,Full-time,LinkedIn,Rejected,,unrated,"Applied via LinkedIn Easy Apply (no company-site application route found; recruiter messaged directly, no response). Rejected.",,,
2026-07-12,Reejig,AI/HR Tech,AI Workflow Builder II,Full-time,LinkedIn,Applied,,A- (assessed),"Reejig's own careers page routes straight to LinkedIn (no separate company ATS), so Easy Apply is the sanctioned channel here. Submitted CV: templates/Resumes/AI Strategist/Marrujo_Michael_Reejig_Resume.docx (Word, one page). Included a 339-character 'why this company' blurb in the top-choice field, not a full cover letter upload - formal letter drafted separately at cover_letters/cover_reejig_ai-workflow-builder-ii.tex in case a real upload field appears elsewhere in the flow.",templates/Resumes/AI Strategist/Marrujo_Michael_Reejig_Resume.docx,cover_letters/cover_reejig_ai-workflow-builder-ii.tex,https://www.linkedin.com/jobs/view/ai-workflow-builder-at-reejig-4434027280
2026-07-13,HappyRobot,AI Infrastructure,Deployment Strategist,Full-time,Company site,Applied,,A- (assessed),"New York location. Applied via the company's own careers site (no LinkedIn Easy Apply). Submitted CV: templates/Resumes/AI Strategist/Marrujo_Michael_Checkout_Resume.docx (Word, one page - identical content to the Reejig resume copy). No formal cover letter file; answered a free-response 'what makes you the right hire' field directly in the application with a trust/change-management narrative tied to the Container Supply order-system rebuild. Posting URL not captured - Michael provided the JD as pasted text, not a link.",templates/Resumes/AI Strategist/Marrujo_Michael_Checkout_Resume.docx,,
2026-07-14,GC AI,Legal AI,AI Chief of Staff,Full-time,Company site (Ashby),Applied,,B+/A- (assessed),"Applied via GC AI's official Ashby careers page (remote-eligible; hybrid only within ~50mi of San Mateo CA or Provo UT). No formal cover letter upload - answered a free-response 'What motivated you to apply to GC AI?' field with a narrative tying the Container Supply order-system rebuild (Sales/Logistics/Finance/Purchasing) to GC AI's cross-functional AI Chief of Staff mandate, plus the CMMS build-vs-buy story and Claude Teams training rollout (8 trained, 6 on Claude Teams). Note: submitted with an earlier draft line ('building my first agentic automations') still in place that had been flagged as a risk and intended for removal before submission - left in accidentally. Known risk: JD's 'attention, context windows, inference tradeoffs' phrasing implies formal ML depth beyond Michael's practitioner-level fluency.",templates/Resumes/AI Strategist/Marrujo_Michael_Reejig_Resume.docx,,https://jobs.ashbyhq.com/gc-ai/b6b1e9e8-4f0d-414b-93e4-7ab25744cb43
2026-07-15,Confidential (recruiter-anonymized elite trading firm search),Capital Markets / Trading,AI Integration/Adoption Lead - Front Office AI Technology,Full-time,LinkedIn Easy Apply (only channel available; no direct company site since employer is anonymized by the posting recruiter),Drafted,,Strong Fit (~75/100 assessed),"London (Hybrid). Up to GBP120k base + bonus. Confidential client search via recruiter - no employer name or direct apply link given, so company-site-only rule could not be followed; user confirmed LinkedIn Easy Apply is acceptable here and will send the recruiter a direct link once submitted. Gaps flagged in cover letter: no banking/capital markets background, no Copilot Studio/Power Apps experience. Visa sponsorship not mentioned in posting - unconfirmed for this US citizen candidate, should be raised before/during process. Correction 2026-07-15: user does not want a LaTeX CV, only a one-page resume - the cv/main_frontofficeai.tex file was deleted; user is hand-editing templates/Resumes/AI Strategist/Marrujo_Michael_Reejig_Resume.docx with the same reweighted bullets/skills instead.",templates/Resumes/AI Strategist/Marrujo_Michael_Reejig_Resume.docx (user-edited copy),cover_letters/cover_frontofficeai_adoption-lead.tex,
2026-07-15,Synechron,Financial Services / AI Consulting,AI Adoption & Product Associate,Full-time,Company careers page (to be confirmed by user),Drafted,,Strong Fit on content (~75/100); comp below $100K floor,"New York City. Posted base $75K-$85K, below the user's stated $100K USD floor and under-market for NYC; user chose to apply anyway citing relocation and possible upward mobility, comp gap flagged explicitly before drafting. Role reads as support/associate-level AI enablement (prompt libraries, playbooks, training delivery) versus the end-to-end ownership the user already has at Container Supply - flagged as a possible scope step-down. Cover letter verified company claim: Synechron delivered seven production-ready Claude Cowork plugins for credit, compliance, and capital markets teams (finextra.com, synechron.com, checked 2026-07-15).",templates/Resumes/AI Strategist/Marrujo_Michael_Reejig_Resume.docx (user-edited copy),cover_letters/cover_synechron_ai-adoption-product-associate.tex,
2026-07-16,Quoreka,CTRM/ETRM Software (Commodity Trading Tech),AI Enablement Lead,Full-time,Company careers site,Applied,,Strong Fit (assessed),"Remote-first; individual-contributor role on the Chief AI Officer's team. JD explicitly names Anthropic's Claude stack (Cowork, Managed Agents) - direct alignment with candidate's Claude/Claude Code background. No compensation range listed in posting - entered Current CTC ~$82K ($38/hr + $10K bonus) and Expected CTC $105K-$115K in application fields. Application flow: Apply-with-Resume upload plus manually completed Education and Employer Details fields (ATS required both despite resume upload). Resume bullet corrected for accuracy: rolled out Gemini company-wide and onboarded 6 employees onto Claude Teams (3 of whom now use Claude Code); consolidated 30 unused licenses for $6K annual savings. Also updated CMMS/maintenance-app bullet from in-progress to completed and live (replaced $36K off-the-shelf software, now logging preventative maintenance, clearing the path to SQF certification worth $1M+ in client revenue). Employer summary fields (255-char max) submitted for Theron Digital and Container Supply only. Acknowledged gaps not addressed: no Python, no PE-backed/high-growth tech environment experience.",templates/Resumes/AI Strategist/Marrujo_Michael_Quoreka_Resume .docx,,https://quoreka.com/careers?jobId=Y3tBnlXthPtF&ft_source=4000163029&ft_medium=4000155020
2026-07-16,FanBasis,Fintech / Creator Economy Payments Platform,Head of AI,Full-time,Email application (careers@fanbasis.com) - no resume/CV upload flow; posting explicitly forbids cover letters,Applied,,Weak-Moderate Fit (~45-50/100 assessed) - applied anyway with an honest gap acknowledgment,"Miami HQ, in-person, relocation required. Posting demands ML/risk-modeling depth (fraud scoring, chargeback prediction, underwriting models) the candidate does not have; explicitly listed as a disqualifier in the JD ('mostly AI strategy/consulting background with no production ML track record'). User chose to apply anyway, leading with the gap upfront rather than concealing it, framed around a ship-fast/learn-fast mindset. Application format required: email with links to 2-3 personally-built production AI systems (no resume upload) - none of the candidate's systems are publicly linkable (internal to employer/consulting clients), so the email disclosed this and offered a live walkthrough instead. Three systems cited: (1) Container Supply order-workflow app - built solo, cross-functional stakeholder rearchitecture with sales/logistics/finance/purchasing leadership; (2) Container Supply CMMS/maintenance app - disclosed as a 60/40 split (candidate led frontend, collaborator handled backend) rather than claimed as solo work; (3) Theron Digital website + client profitability app - built and run solo. 'Leveraged AI bet' response: proposed an AI-guided beginner coding course hosted on FanBasis's own courses product, tied to candidate's self-taught coding background. Resume attached: AI Strategist-track resume (Quoreka base). Known accuracy fix flagged but not yet confirmed applied before send: CMMS bullet tense ('Building' vs 'Built').",templates/Resumes/AI Strategist/Marrujo_Michael_Quoreka_Resume .docx,,
